"No.","URL","Detection","Registration","Host Country","Canadian Content","Risk","Type","Detected By","IP","Regulation","Canada Regulation","Payment Service","Google Analytics","Phone Number","Physical Location","Action"
"801","http://futuretradingkonnect.com","2024-12-06","2024-12-02","","","Critical","Investment","","66.45.248.177","licensedregulatedx"">Details","","","","+16062297623","225 Central Park West, New York, NY 10024","Save                                 Edit                                 Close                             "">                                                                                                       futuretradingkonnect.com establish california usa 2005. sinc evolv one largest financi deriv compani worldwid current paid-up capit million product trade futuretradingkonnect.com 's wide rang financi product tool futuretradingkonnect.com offer simpl yet power trade tool help manag trade eas full control- free charg regul smart trade financi market replic invest move trader real time automat social trade extrem benefici come trade financi market put invest new highli remun innov project offeClose"">"
"802","http://bc-game.com.ng","2024-12-06","2024-12-06","","","Critical","Investment","","104.21.8.153","licensedregulatedx"">Details","","discoverx"">Details","","","","Save                                 Edit                                 Close                             "">                                                                                                       bc game onlin sport bet casino nigeria bc game bet platform avail nigeria sport casino game avail use bc game featur dozen sport disciplin bet well thousand casino game fulli legal oper safe thank curacao licens new player bc game featur welcom bonu give ngn welcom bonu +360 ngn content bc game review tabl find detail inform us oper sinc strive improv function everi day year foundat licens curacao rang game slot poker blackjack baccarat sic bo keno welcom bonu ngn minimum deposit ngn ngn accept Close"">"
"803","http://essentialtrainings.co.uk","2024-12-06","2024-12-02","","","Critical","Investment","","162.159.140.166","compliantx"">Details","","paypaldiscoverstripex"">Details","","","","Save                                 Edit                                 Close                             "">                                                                                                       introduc essenti digit market cours learn sell complet digit market system get instant access high-valu digit product sell profit master digit market skill time includ 200+ expert train video learn sell product perfect ... 're look legitim way make money onlin want learn digit market find say ... want product start sell right away learn skill `` need someth let earn learn time `` 'm tire cours n't give resel right real busi asset `` game-chang 'm learn advanc market strategi Close"">"
"804","http://hamsterprice.in","2024-12-06","2024-07-09","","","Critical","Investment","","146.190.168.130","","","","","","","Save                                 Edit                                 Close                             "">                                                                                                       hamster price tabl content hamster kombat coin price live graph depict price fluctuat hmstr coin past week start 0.52 price climb peak 0.64 around juli 27. current hmstr equal approxim 0.58 maximum suppli billion token list expand hmstr avail offer trade opportun attract investor hamster price india hamster kombat coin hmstr current live price approxim 46.60 inr per coin valu reflect dynam natur cryptocurr price fluctuat base market condit hamster price indian rupe regularli updat provid accur cClose"">"
"805","http://quotex.ng","2024-12-06","2024-12-06","","","Critical","Investment","","104.21.16.1","","","visamastercardx"">Details","","+2342094621168","Amara, 2024","Save                                 Edit                                 Close                             "">                                                                                                       custom support 24/7 quotex platform onlin trade invest today 's financi world trade invest becom access everyon happen thank innov platform quotex explain quotex work tool present trade instruct learn trader investor pay attent point view pay special attent question quotex legit broker `` disclos secur measur place rate 5.00 star user sign start ai trade journey less second sign agre term use privaci polici calcul possibl profit choos much long want invest find potenti profit deposit periodClose"">"
"806","http://ammarinbedouincamp.com","2024-12-06","2024-12-02","","","Critical","Investment","","193.111.61.238","registeredlicensedaccreditedapprovedexaminedx"">Details","","visamastercarddiscoverx"">Details","","","","Save                                 Edit                                 Close                             "">                                                                                                       king johnni casino royal reward game experi 's pleasur meet wholeheart risk-tak heartili welcom websit review distinguish onlin casino australia give honest feedback simpl word today spotlight king johnni casino fanci playground launch 2020. use onlin casino team found johnni kash king excit new addit onlin gambl scene australia own oper direx n.v. renown busi administ bet site fiat crypto game 's chanc 've heard flourish project arlequin cleopatra mar joo cobra 're familiar Close"">"
"807","http://mberesa.com","2024-12-06","2024-12-02","","","Critical","Investment","","38.180.229.222","authorizedvalidatedx"">Details","","visamastercardamerican expressapple paygoogle payx"">Details","","","","Save                                 Edit                                 Close                             "">                                                                                                       beresa get start secur anytim anywher beresa multi-chain web3 crypto cold wallet back beresatoken wallet integr seamlessli beresatoken rubbi wallet provid secur user-friendli manag top crypto asset back beresatoken exclus recommend coldwallet top secur chip meet cc eal 6+ standard zero secur incid valid year cross-platform capabl work mobil pc back beresatoken exclus recommend cold wallet top secur chip meet cc eal 6+ standard zero secur incid valid year cross-platform capabl work mobil pc higheClose"">"
"808","http://crestlink.au","2024-12-06","2024-12-06","","","Critical","Investment","","103.9.65.153","approvedx"">Details","","discoverx"">Details","","0865560412","","Save                                 Edit                                 Close                             "">                                                                                                       crestlink formerli kimberley technolog solut crestlink support big goal care marin ecosystem commun remot part world cockatoo island strateg locat north west australia cockatoo island offer uniqu locat provid unrival advantag energi resourc sector well monitor australia border cockatoo island strateg locat north west australia cockatoo island offer uniqu locat provid unrival advantag energi resourc sector well monitor australia border advantag strateg locat crestlink cockatoo island offer unparaClose"">"
"809","http://2ndspring.eu","2024-12-06","2024-12-06","","","Critical","Investment","","92.205.170.174","registeredlicensedregulatedauthorizedcertifiedapprovedexaminedcontrolledbondedrecognizedx"">Details","","paypalvisadiscoverstripex"">Details","","","Lucerne, Switzerland, in 1956","Save                                 Edit                                 Close                             "">                                                                                                       year old pleas note wo n't abl access site check paystack hannah strehlow year efren arellano year luca velazquez year geraldo pello year clarita cozart year salvator goldsbrough year rhonda emert year josefina keeton year clarita baldwinson year keisha vest year edyth hatley year deangelo granvil year luann linton year alta capl year evi candelaria year christena winifr year gerardo summerlin year cheryl rosman year maryl eichel year soon louat year meet new interest peopl join 2ndspring cClose"">"
"810","http://paysot.eu","2024-12-06","2024-12-06","","","Critical","Investment","","46.4.27.228","registeredregulatedauthorizedsupervisedcontrolledx"">Details","","mastercardx"">Details","","","17 Mitropolit Boris str. Blagoevgrad, 2700, Bulgaria","Save                                 Edit                                 Close                             "">                                                                                                       celebr financi growth togeth consult group affect life posit interest area countri support effici experienc secur transpar simpl attract recommend p.a.y.s.o.t profit assur secur time primari sector real estat forex trade arbitrag crypto distress deal stock trade green energi secur financi futur step fill registr form select area interest let 's see togeth interest effect profit program recommend profession team specialist low risk secur stabil consult group paysot recommend cloud mint cloudClose"">"
"811","http://roblikee.com","2024-12-06","2024-12-02","","","Critical","Investment","","5.61.51.126","compliantx"">Details","","discoverx"">Details","","19251258662","","Save                                 Edit                                 Close                             "">                                                                                                       dylg empow futur cryptocurr dylg dedic provid tool resourc need navig world cryptocurr confid secur transact stay inform latest trend help thrive excit realm digit currenc real-tim data stay updat live cryptocurr price market trend platform provid real-tim data make inform decis instantli secur transact platform ensur secur transact advanc encrypt protocol trade confid know asset protect user-friendli interfac easili navig user-friendli interfac design beginn experienc trader access tool need onClose"">"
"812","http://invessting.net","2024-12-06","2024-12-02","","","Critical","Investment","","15.235.54.226","regulatedcompliantauthorizedapprovedcontrolledvalidatedx"">Details","","discoverstripex"">Details","","","","Save                                 Edit                                 Close                             "">                                                                                                       investing.com financi market worldwid popular search pleas tri anoth search news market dow jone p nasdaq small cap p vix p/tsx bovespa p/bmv ipc msci world dax propick ai propick ai calendar popular screen 10/share discov stock trade per share recent price momentum big today discov stock experienc signific price increas today technic titan find stock exhibit strong bullish technic signal rel strength momentum master track stock outstand recent price perform high trade volum insid favorit identiClose"">"
"813","http://tiktakbetcasino.win","2024-12-06","2024-12-03","","","Critical","Investment","","172.67.202.30","registeredlicensedregulatedx"">Details","","visamastercardx"">Details","","","","Save                                 Edit                                 Close                             "">                                                                                                       tiktakbet casino sportsbook tik tak bet review street citi wait high-stak hommi grab 200welcom casino packag bonu bonus promot feel vibe urban casino tiktakbet bring puls citi straight screen wrap everi spin bet play burst electrifi energi decemb action crank max promot thatll light game night kick journey welcom bonu packag worth 200. first three deposit start unlock boost need dive massiv select game immers urban thrill feel holiday buzz playson merri money month turn heat jaw-drop prize pool Close"">"
"814","http://aerodrome-fiinance.com","2024-12-06","2024-12-02","","","Critical","Investment","","104.21.96.1","regulatedx"">Details","","discoverx"">Details","","","","Save                                 Edit                                 Close                             "">                                                                                                       aerodrom financ seamless coin swap platform aerodrom financ lead decentr financ platform empow user swap coin effortlessli secur whether season trader newcom cryptocurr aerodrom financ offer simpl fast reliabl environ exchang digit asset built cutting-edg blockchain technolog ensur everi transact effici cost-effect provid best possibl experi coin swap choos aerodrom financ aerodrom financ stand crypto ecosystem offer platform design quick secur coin swap unlik tradit exchang aerodrom financ operClose"">"
"815","http://kheloyarr.co.in","2024-12-06","2023-12-11","","","Critical","Investment","","88.223.87.60","registeredlicensedx"">Details","","visamastercarddiscovergoogle payx"">Details","","","","Save                                 Edit                                 Close                             "">                                                                                                       kheloyar tab content tab goe tab content tab goe tab content tab goe tab content tab goe popular match e-cricket qtech live casino virtual ezugi evolut supernowa qtech welcom kheloyar gateway excit onlin game step world thrill onlin game kheloyar platform offer wide rang sport bet option live game exclus promot secur user-friendli environ whether your season bettor new game kheloyar make easi enjoy everi moment join us discov kheloyar top choic onlin game excit kheloyar everi singl individu enjoClose"">"
