"No.","URL","Detection","Registration","Host Country","Canadian Content","Risk","Type","Detected By","IP","Regulation","Canada Regulation","Payment Service","Google Analytics","Phone Number","Physical Location","Action"
"701","http://apexultracapital.com","2024-12-07","2024-12-03","","","Critical","Investment","","62.77.158.60","","","","","","","Save                                 Edit                                 Close                             "">                                                                                                       better way trade invest onlin trade help million custom achiev financi goal help trade invest eas secur come first secur onlin trade use highest level internet secur secur bit ssl secur encrypt ensur inform complet protect fraud two factor auth two-factor authent 2fa default onlin trade account secur protect unauthoris access imperson explor servic mission provid delight success trade experi power trade platform onlin trade offer multipl platform option cover need type trader investor high leverClose"">"
"702","http://onespacemarket.life","2024-12-07","2024-12-07","","","Critical","Investment","","104.21.80.1","registeredlicensedregulatedx"">Details","","discoverx"">Details","","","","Save                                 Edit                                 Close                             "">                                                                                                       get freedom market trade cryptocurr stock indic commod forex singl account trade forex/ cfd highli specul carri high level risk less commiss forex crypto index stock energi commod market analysi andtrad inspir thrive network expert client onespac market open door mani opportun power market insight top trade setup industri extens connect profession trader explor market pace short onlin cours sign wide rang trade instrument unparallel trade condit global licens regul commit forex educ regular contClose"">"
"703","http://gigamarketers.com","2024-12-07","2024-12-03","","","Critical","Investment","","172.67.159.107","","","","","","","Save                                 Edit                                 Close                             "">                                                                                                       web server return unknown error error code browser cloudflar host happen unknown connect issu cloudflar origin web server result web page display visitor websit pleas tri minut owner websit issu cloudflar 's cach origin web server cloudflar monitor error automat investig caus help support investig pull correspond error log web server submit support team pleas includ ray id bottom error page addit troubleshoot resourc cloudflar ray id 8f0e2d2daa8a43cd ip click reveal 131.202.14.152 perform sClose"">"
"704","http://charteredeureach.co.uk","2024-12-07","2024-12-03","","","Critical","Investment","","3.33.251.168","registeredcompliantaccreditedcertifiedcharteredrecognizedx"">Details","","paypalstripex"">Details","","+6567169980","Zealand: +61 3 9909","Save                                 Edit                                 Close                             "">                                                                                                       reach regul european union highli complex compani directli impact reach registr evalu author restrict chemic span across multipl industri annual complianc cost estim 2.3 billion sinc implement reach continu evolv busi face signific challeng maintain complianc regul requir compani manag risk chemic provid safeti inform substanc make complianc technic administr challeng certifi program provid comprehens overview reach framework equip necessari knowledg practic skill navig complex regulatori landscClose"">"
"705","http://monyecontrol.com","2024-12-07","2024-12-03","","","Critical","Investment","","69.163.142.155","","","discoverx"">Details","","","","Save                                 Edit                                 Close                             "">                                                                                                       topbrokerstrading.com mindblown blog philosophi techniqu make maximum buy sell magazin lot mention concern signific master buy sell psycholog despit fact lot altern way perform target like essenti sensibl effici manner preserv mental industri magazin use correctli mental industri magazin us novemb cpi inform due wednesday decemb anticip upper octob octob u.s. client valu index cpi higher mean 0.2 former month mark fourth consecut month fee enlarg annual foundat cpi rose mean 2.6 2.4 septemb coreClose"">"
"706","http://albits.xyz","2024-12-07","2024-12-04","","","Critical","Investment","","185.162.89.77","licensedcertifiedrecognizedx"">Details","","","","02456787535","","Save                                 Edit                                 Close                             "">                                                                                                       expertis provid profession servic solut area servic technolog servic let 's get start invest make profit al bit introduc sophist financi manag servic ground predetermin condit team collect expert comput engin blockchain program advanc comput technolog fervent dedic intricaci cryptocurr mine meticul craft invest plan promis one-tim incom accrual specif interv underscor commit deliv highli profit opportun al bit team compos specialist vast knowledg comput engin field blockchain program advancClose"">"
"707","http://stocksbiz.in","2024-12-07","2023-12-16","","","Critical","Investment","","190.92.174.88","","","","","","","Save                                 Edit                                 Close                             "">                                                                                                       stock biz nazar har stock par `` top stock buy determin select top stock buy intric jio financ share price need know introduct jio financ share price compani jio financi servic ltd indian financi bandhan bank share price analysi current trend futur project bandhan bank lead indian bank institut known focu microfin mumbai tran harbour link atal setu friday januari 12th histori unveil prime minist narendra modi ceremoni indusind bank bullish outlook beyond suzlon share price analysi market cap p/eClose"">"
"708","http://enhancewealthltd.com","2024-12-07","2024-12-03","","","High","Investment","","185.151.30.222","registeredx"">Details","","visax"">Details","","","3, MARINA BAY FINANCIAL CENTRE, SINGAPORE 018982","Save                                 Edit                                 Close                             "">                                                                                                       regist login enhanc wealth limit overview enhanc wealth limit uniqu high-tech singapor base firm classifi expertis focu digit innov technolog leas forex start-up ico ipo stock crypto trade project invest real estat energi sector mlp well closed-end fund etf learn enhanc wealth limit card tyler walli 04/25 use enhanc wealth limit card like use card swipe card payment amount deduct avail balanc instant enhanc wealth limit crypto credit balanc hassl sell crypto enhanc wealth limit store enhanc wealClose"">"
"709","http://rubycycle.com","2024-12-07","2024-12-03","","","Critical","Investment","","82.197.80.28","regulatedx"">Details","","paypalvisamastercardx"">Details","","01234567890","123 Disney Street Slim Av. Brooklyn Bridge, NY","Save                                 Edit                                 Close                             "">                                                                                                       transform wast wealth learn invest sustain futur contact us creat account get start creat free account us today buy share buy compani share share price pay start earn start earn daili profit success busi carri recycl portfolio us revolution wast manag sustain futur rubycycl global wast gener continu rise present signific challeng especi rapidli urban develop region citi worldwid produc 2.01 billion tonn solid wast person contribut averag 0.74 kilogram per day figur expect increas reach 3.4 billiClose"">"
"710","http://latestlinefind.com","2024-12-07","2024-12-03","","","Critical","Investment","","104.21.68.53","registeredregulatedx"">Details","","discoverx"">Details","","+35724243852","","Save                                 Edit                                 Close                             "">                                                                                                       www.latestlinefind.com trade chat invest trade copi trade make money market reliabl broker user-friendli platform best term start mt4/5 lf ctrader platform 300+ trade asset 1:1000 leverag 0.0 raw spread 0.01 sec fast execut ecn+stp process model sure-fir choic latest line find ensur safeti high-spe process financi oper use strict protocol advanc technolog solut year market latest line find servic acknowledg prestigi award mani time 1.5 million trader trade us worldwid advantag condit raw spread Close"">"
